,val_accuracy_test,val_accuracy_train,val_d_loss_test,val_g_loss_test,d_correct_test,d_correct_train,len_dataset_train
0,92.55,92.335,0.0013372665271162987,0.004031639080494642,190,92335,100000
1,90.95,92.581,0.0012938901782035828,0.004085787106305361,192,92581,100000
2,90.55,91.412,0.0012925562914460897,0.004176327958703041,185,91412,100000
3,89.95,90.428,0.0012864049058407545,0.004263580311089754,181,90428,100000
4,88.5,89.284,0.0014045730931684375,0.004286075476557016,179,89284,100000
5,87.1,88.149,0.0014782414073124528,0.004360352177172899,179,88149,100000
6,87.4,87.358,0.0013859844766557217,0.004601086024194956,180,87358,100000
7,87.15,86.704,0.0014907944714650512,0.004672353155910969,175,86704,100000
8,86.45,86.17,0.0015026539331302047,0.004765877965837717,177,86170,100000
9,85.2,85.623,0.0015869570197537541,0.004824667703360319,176,85623,100000
10,85.4,85.558,0.0015417529502883554,0.005033826921135187,172,85558,100000
11,86.2,85.464,0.0015331381000578403,0.005255213472992182,171,85464,100000
12,85.4,85.502,0.0015665950486436486,0.005267313215881586,166,85502,100000
13,84.55,85.539,0.0016760852886363864,0.005336274392902851,164,85539,100000
14,85.95,85.45,0.0015792201738804579,0.005694529041647911,181,85450,100000
15,85.3,85.3,0.0016193874180316925,0.005663742311298847,174,85300,100000
16,85.45,85.066,0.0015689987922087312,0.006018823012709618,171,85066,100000
17,84.4,84.429,0.0016711056232452393,0.005973730701953173,166,84429,100000
18,85.15,84.048,0.001611646031960845,0.006402119994163513,175,84048,100000
19,83.05,83.427,0.001696885796263814,0.006232863757759333,168,83427,100000
20,83.05,82.932,0.0017194380052387714,0.0063009862788021564,173,82932,100000
21,81.85,82.126,0.001766919274814427,0.006350900046527386,168,82126,100000
22,80.2,81.688,0.0018511685775592923,0.006219822447746992,162,81688,100000
23,80.5,80.846,0.0018277551280334592,0.006191379856318235,166,80846,100000
24,80.7,80.099,0.0018671761499717832,0.006017532665282488,166,80099,100000
25,78.8,79.63,0.001945158583112061,0.005902579519897699,161,79630,100000
26,78.4,78.862,0.001978648593649268,0.005814897827804089,156,78862,100000
27,76.45,78.047,0.0020600801799446344,0.005476184189319611,149,78047,100000
28,77.4,77.293,0.0020431599114090204,0.005458454601466656,157,77293,100000
29,75.95,76.591,0.0020995524246245623,0.005118008237332106,149,76591,100000
30,74.75,75.712,0.0021525335032492876,0.004878504667431116,152,75712,100000
31,75.35,74.893,0.002138496609404683,0.004883901681751013,156,74893,100000
32,74.25,73.987,0.002174647059291601,0.004719468764960766,146,73987,100000
33,72.65,73.274,0.002245080890133977,0.0044320751912891865,145,73274,100000
34,72.6,72.262,0.0022384568583220243,0.004434219095855951,154,72262,100000
35,69.25,71.481,0.002318109618499875,0.004131894558668137,139,71481,100000
36,69.4,70.497,0.00234927237033844,0.0040704598650336266,135,70497,100000
37,68.35,69.578,0.0024047389160841703,0.0038523501716554165,139,69578,100000
38,66.3,68.442,0.0024502226151525974,0.0037145460955798626,131,68442,100000
39,66.7,67.475,0.0024379335809499025,0.003766348585486412,139,67475,100000
40,65.2,66.58,0.002512677339836955,0.0035568582825362682,132,66580,100000
41,64.45,65.47,0.002519817091524601,0.0035233560483902693,126,65470,100000
42,62.25,64.514,0.0025829030200839043,0.0033595608547329903,120,64514,100000
43,61.85,63.518,0.002605907618999481,0.0032786251977086067,131,63518,100000
44,60.65,62.419,0.002612683456391096,0.003300298936665058,130,62419,100000
45,59.5,61.366,0.002640798222273588,0.0032112926710397005,125,61366,100000
46,59.65,60.63,0.0026645332109183073,0.003220952581614256,123,60630,100000
47,58.75,59.453,0.0026846330147236586,0.0032071792520582676,118,59453,100000
48,57.25,58.578,0.002720165066421032,0.003128441283479333,116,58578,100000
49,56.8,57.812,0.0027339281514286995,0.00311050983145833,113,57812,100000
