,val_accuracy_test,val_accuracy_train,val_d_loss_test,val_g_loss_test,d_correct_test,d_correct_train,len_dataset_train
0,83.75,86.953,0.0016544620739296079,0.006260376889258623,166,86953,100000
1,64.9,75.762,0.0024971936363726854,0.0035327598452568054,148,75762,100000
2,51.05,57.749,0.002866156864911318,0.0030055101960897446,100,57749,100000
3,36.7,46.716,0.002891125623136759,0.0027513362001627684,74,46716,100000
4,50.0,43.907,0.002864330541342497,0.002855525817722082,104,43907,100000
5,50.0,46.996,0.0028421131428331137,0.0028989878483116627,104,46996,100000
6,50.0,51.462,0.002822556532919407,0.0028587470296770334,104,51462,100000
7,52.4,55.086,0.002806012751534581,0.002785313408821821,104,55086,100000
8,62.65,57.752,0.002790801227092743,0.0028276105877012014,131,57752,100000
9,61.4,59.59,0.002778521738946438,0.0028410935774445534,127,59590,100000
10,59.15,60.333,0.0027664853259921074,0.0028645265847444534,124,60333,100000
11,62.7,60.754,0.002756624249741435,0.002842474030330777,130,60754,100000
12,59.2,61.32,0.0027458949480205774,0.002911921590566635,122,61320,100000
13,62.2,62.032,0.002736802911385894,0.002881692023947835,131,62032,100000
14,60.4,62.585,0.0027268449775874615,0.002958619501441717,129,62585,100000
15,61.6,62.813,0.00271934294141829,0.002959297737106681,133,62813,100000
16,62.2,62.838,0.002715783193707466,0.002879305509850383,133,62838,100000
17,59.15,61.061,0.0027241690549999475,0.0028668749146163464,135,61061,100000
18,53.4,57.098,0.002753067761659622,0.0029283142648637295,120,57098,100000
19,49.1,50.86,0.0027911814395338297,0.0026675984263420105,106,50860,100000
20,50.0,45.91,0.0028380288276821375,0.002558863488957286,104,45910,100000
21,50.0,45.914,0.0028171883895993233,0.002583305584266782,104,45914,100000
22,50.0,49.357,0.002795993350446224,0.0026426566764712334,104,49357,100000
23,59.1,56.361,0.0027643314097076654,0.0027078757993876934,118,56361,100000
24,58.85,59.68,0.002752740401774645,0.0027246461249887943,116,59680,100000
25,57.65,59.443,0.0027468204498291016,0.0027400765102356672,102,59443,100000
26,56.55,58.457,0.0027431512717157602,0.0027719466015696526,115,58457,100000
27,55.75,56.726,0.0027465501334518194,0.0027974010445177555,116,56726,100000
28,52.7,54.838,0.0027594969142228365,0.002744186669588089,106,54838,100000
29,50.5,52.585,0.0027697684708982706,0.0027737747877836227,93,52585,100000
30,48.45,51.173,0.0027831988409161568,0.002769713057205081,90,51173,100000
31,49.25,50.285,0.0027843813877552748,0.0028196086641401052,96,50285,100000
32,48.3,50.252,0.002782561583444476,0.0027884396258741617,99,50252,100000
33,48.0,49.886,0.0027852822095155716,0.0028011563699692488,91,49886,100000
34,48.7,50.418,0.0027833757922053337,0.002789328573271632,94,50418,100000
35,47.95,50.427,0.0027831837069243193,0.002783091738820076,86,50427,100000
36,48.45,50.44,0.002776843961328268,0.0027753019239753485,93,50440,100000
37,47.7,50.518,0.002777910092845559,0.002772941719740629,98,50518,100000
38,50.65,50.518,0.0027761461678892374,0.0027917071711272,101,50518,100000
39,49.0,50.57,0.002775298897176981,0.0027772102039307356,96,50570,100000
40,50.35,50.194,0.002774175489321351,0.002789148362353444,104,50194,100000
41,48.6,50.68,0.0027754460461437702,0.0027758826036006212,87,50680,100000
42,49.7,50.283,0.002772834850475192,0.00278523750603199,93,50283,100000
43,51.55,50.592,0.00277100782841444,0.002788039157167077,106,50592,100000
44,50.5,50.781,0.002769840182736516,0.002787510398775339,100,50781,100000
45,49.3,50.595,0.0027714206371456385,0.0027756209019571543,99,50595,100000
46,52.0,50.573,0.002769815269857645,0.0028033650014549494,97,50573,100000
47,50.1,51.375,0.0027705004904419184,0.0027867211028933525,98,51375,100000
48,50.3,51.325,0.00276739988476038,0.0027837713714689016,94,51325,100000
49,51.1,51.182,0.0027704257518053055,0.0027951630763709545,101,51182,100000
